"","names","file","group.prob","year"
"1","X","fy17_1",1,2017
"2","POOFFICE","fy17_1",2,2017
"3","ZONE","fy17_1",3,2017
"4","SORGDL","fy17_1",4,2017
"5","DESCRIP1","fy17_1",5,2017
"6","DESCRIP2","fy17_1",5,2017
"7","DESCRIP3","fy17_1",5,2017
"8","DESCRIP4","fy17_1",5,2017
"9","DESCRIP5","fy17_1",5,2017
"10","DESCRIP6","fy17_1",5,2017
"11","DESCRIP7","fy17_1",5,2017
"12","DESCRIP8","fy17_1",5,2017
"13","DESCRIP9","fy17_1",5,2017
"14","DESCRIP10","fy17_1",5,2017
"15","DESCRIP11","fy17_1",5,2017
"16","DESCRIP12","fy17_1",5,2017
"17","DESCRIP13","fy17_1",5,2017
"18","DESCRIP14","fy17_1",5,2017
"19","DESCRIP15","fy17_1",5,2017
"20","CHP2TXT1","fy17_1",6,2017
"21","CHP2TXT2","fy17_1",6,2017
"22","CHP2TXT3","fy17_1",6,2017
"23","CHP2TXT4","fy17_1",6,2017
"24","CHP2TXT5","fy17_1",6,2017
"25","CHP2TXT6","fy17_1",6,2017
"26","CHP3TXT1","fy17_1",6,2017
"27","CHP3TXT2","fy17_1",6,2017
"28","CHP3TXT3","fy17_1",6,2017
"29","CHP3TXT4","fy17_1",6,2017
"30","CHP3TXT5","fy17_1",6,2017
"31","CHP3TXT6","fy17_1",6,2017
"32","CHP4TXT1","fy17_1",6,2017
"33","CHP4TXT2","fy17_1",6,2017
"34","CHP4TXT3","fy17_1",6,2017
"35","CHP4TXT4","fy17_1",6,2017
"36","CHP4TXT5","fy17_1",6,2017
"37","CHP4TXT6","fy17_1",6,2017
"38","AMTFINEC","fy17_1",7,2017
"39","AMTREST","fy17_1",8,2017
"40","AMTTOTAL","fy17_1",9,2017
"41","COSTSUP","fy17_1",10,2017
"42","FINE","fy17_1",11,2017
"43","FINEMIN","fy17_1",12,2017
"44","FINEMAX","fy17_1",13,2017
"45","SENTTOT","fy17_1",14,2017
"46","SENTTOT0","fy17_1",14,2017
"47","SENSPLT","fy17_1",15,2017
"48","SENSPLT0","fy17_1",15,2017
"49","TIMSERVC","fy17_1",16,2017
"50","TIMESERV","fy17_1",16,2017
"51","TOTREST","fy17_1",17,2017
"52","TOTUNIT","fy17_1",18,2017
"53","USSCIDN","fy17_1",19,2017
"54","ACCAP","fy17_1",20,2017
"55","ACCCAT","fy17_1",21,2017
"56","ACCGDLN","fy17_1",22,2017
"57","ACCOFFLV","fy17_1",23,2017
"58","ACCTRESP","fy17_1",24,2017
"59","AGE","fy17_1",25,2017
"60","ALTDUM","fy17_1",26,2017
"61","ALTMO","fy17_1",26,2017
"62","ARMCRIM","fy17_1",27,2017
"63","BOOKER2","fy17_1",28,2017
"64","BOOKER3","fy17_1",28,2017
"65","BOOKER4","fy17_1",28,2017
"66","BOOKERCD","fy17_1",29,2017
"67","CAROFFEN","fy17_1",30,2017
"68","CAROFFAP","fy17_1",31,2017
"69","CAROFFLV","fy17_1",32,2017
"70","CHAP2","fy17_1",33,2017
"71","CHEMTYP1","fy17_1",34,2017
"72","CIRCDIST","fy17_1",35,2017
"73","CITIZEN","fy17_1",36,2017
"74","CITWHERE","fy17_1",37,2017
"75","CO924TAB","fy17_1",38,2017
"76","COADJLEV","fy17_1",39,2017
"77","COMBDRG2","fy17_1",40,2017
"78","COMDUM","fy17_1",41,2017
"79","COSTSDUM","fy17_1",10,2017
"80","CRIMHIST","fy17_1",42,2017
"81","CRIMLIV","fy17_1",43,2017
"82","CRIMPTS","fy17_1",44,2017
"83","CRMLIVAP","fy17_1",43,2017
"84","CRPTS","fy17_1",45,2017
"85","CUNIT1","fy17_1",46,2017
"86","DAYSDUM","fy17_1",47,2017
"87","DISPOSIT","fy17_1",48,2017
"88","DISTRICT","fy17_1",49,2017
"89","DOBMON","fy17_1",50,2017
"90","DRUGPROB","fy17_1",51,2017
"91","DSIND","fy17_1",52,2017
"92","DSJANDC","fy17_1",52,2017
"93","DSPLEA","fy17_1",53,2017
"94","DSPSR","fy17_1",48,2017
"95","DSSOR","fy17_1",54,2017
"96","DUFROM1","fy17_1",55,2017
"97","DUFROM2","fy17_1",55,2017
"98","DUFROM3","fy17_1",55,2017
"99","DUFROM4","fy17_1",55,2017
"100","DUFROM5","fy17_1",55,2017
"101","DUFROM6","fy17_1",55,2017
"102","DUFROM7","fy17_1",55,2017
"103","DUFROM8","fy17_1",55,2017
"104","DUFROM9","fy17_1",55,2017
"105","DUFROM10","fy17_1",55,2017
"106","DUFROM11","fy17_1",55,2017
"107","DUFROM12","fy17_1",55,2017
"108","DUFROM13","fy17_1",55,2017
"109","DUFROM14","fy17_1",55,2017
"110","DUFROM15","fy17_1",55,2017
"111","DUTO1","fy17_1",56,2017
"112","DUTO2","fy17_1",56,2017
"113","DUTO3","fy17_1",56,2017
"114","DUTO4","fy17_1",56,2017
"115","DUTO5","fy17_1",56,2017
"116","DUTO6","fy17_1",56,2017
"117","DUTO7","fy17_1",56,2017
"118","DUTO8","fy17_1",56,2017
"119","DUTO9","fy17_1",56,2017
"120","DUTO10","fy17_1",56,2017
"121","DUTO11","fy17_1",56,2017
"122","DUTO12","fy17_1",56,2017
"123","DUTO13","fy17_1",56,2017
"124","DUTO14","fy17_1",56,2017
"125","DUTO15","fy17_1",56,2017
"126","ECONDUM","fy17_1",57,2017
"127","EDUCATN","fy17_1",58,2017
"128","ENCRYPT1","fy17_1",59,2017
"129","ENCRYPT2","fy17_1",59,2017
"130","FINEDUM","fy17_1",60,2017
"131","FINECDUM","fy17_1",61,2017
"132","FINEWAIV","fy17_1",62,2017
"133","HISPORIG","fy17_1",63,2017
"134","HOMDUM","fy17_1",64,2017
"135","INNOPL1","fy17_1",65,2017
"136","INNOPL2","fy17_1",65,2017
"137","INNOPL3","fy17_1",65,2017
"138","INNOPL4","fy17_1",65,2017
"139","INNOPL5","fy17_1",65,2017
"140","INNOPL6","fy17_1",65,2017
"141","INNOPL7","fy17_1",65,2017
"142","INNOPL8","fy17_1",65,2017
"143","INNOPL9","fy17_1",65,2017
"144","INNOPL10","fy17_1",65,2017
"145","INNOPL11","fy17_1",65,2017
"146","INNOPL12","fy17_1",65,2017
"147","INPLEA1","fy17_1",65,2017
"148","INPLEA2","fy17_1",65,2017
"149","INPLEA3","fy17_1",65,2017
"150","INPLEA4","fy17_1",65,2017
"151","INPLEA5","fy17_1",65,2017
"152","INPLEA6","fy17_1",65,2017
"153","INPLEA7","fy17_1",65,2017
"154","INPLEA8","fy17_1",65,2017
"155","INPLEA9","fy17_1",65,2017
"156","INPLEA10","fy17_1",65,2017
"157","INPLEA11","fy17_1",65,2017
"158","INPLEA12","fy17_1",65,2017
"159","INOUT","fy17_1",66,2017
"160","INTDUM","fy17_1",67,2017
"161","IS924C","fy17_1",68,2017
"162","IS1028A","fy17_1",68,2017
"163","ISMETHMIN","fy17_1",69,2017
"164","LOSSPROB","fy17_1",70,2017
"165","MAND1","fy17_1",71,2017
"166","MAND2","fy17_1",71,2017
"167","MAND3","fy17_1",71,2017
"168","MAND4","fy17_1",71,2017
"169","MAND5","fy17_1",71,2017
"170","MAND6","fy17_1",71,2017
"171","MITCAP","fy17_1",72,2017
"172","MOCOMCON","fy17_1",73,2017
"173","MOHOMDET","fy17_1",74,2017
"174","MOINTCON","fy17_1",75,2017
"175","MONACCEP","fy17_1",76,2017
"176","MONCIRC","fy17_1",77,2017
"177","MONRACE","fy17_1",78,2017
"178","MONSEX","fy17_1",79,2017
"179","MONSXOFB","fy17_1",76,2017
"180","NEWCIT","fy17_1",80,2017
"181","NEWCNVTN","fy17_1",81,2017
"182","NEWEDUC","fy17_1",82,2017
"183","NEWRACE","fy17_1",83,2017
"184","NOCOMP","fy17_1",81,2017
"185","NOCOUNTS","fy17_1",84,2017
"186","NOUSTAT","fy17_1",85,2017
"187","NOREAVAR","fy17_1",86,2017
"188","NODRUG","fy17_1",87,2017
"189","NOCHEM","fy17_1",88,2017
"190","NUMDEPEN","fy17_1",89,2017
"191","OFFTYPE2","fy17_1",90,2017
"192","OFFTYPSB","fy17_1",90,2017
"193","ONLY924C","fy17_1",91,2017
"194","ONLY1028A","fy17_1",92,2017
"195","POINT1","fy17_1",93,2017
"196","POINT2","fy17_1",93,2017
"197","POINT3","fy17_1",93,2017
"198","PRESENT","fy17_1",94,2017
"199","PRISDUM","fy17_1",95,2017
"200","PROBDUM","fy17_1",96,2017
"201","QUARTER","fy17_1",97,2017
"202","RANGEPT","fy17_1",98,2017
"203","REL2PTS","fy17_1",99,2017
"204","RESTDET1","fy17_1",100,2017
"205","RESTDET2","fy17_1",100,2017
"206","RESTDET3","fy17_1",100,2017
"207","RESTDET4","fy17_1",100,2017
"208","RESTDET5","fy17_1",100,2017
"209","RESTDET6","fy17_1",100,2017
"210","RESTDUM","fy17_1",101,2017
"211","SAFE","fy17_1",102,2017
"212","SAFETY","fy17_1",103,2017
"213","SENTIMP","fy17_1",104,2017
"214","SENTMON","fy17_1",104,2017
"215","SENTPTS","fy17_1",105,2017
"216","SEXOFFNA","fy17_1",106,2017
"217","SEXOFFNB","fy17_1",106,2017
"218","SEXACCA","fy17_1",107,2017
"219","SEXACCB","fy17_1",108,2017
"220","SEXADJB","fy17_1",109,2017
"221","SEXCAP","fy17_1",110,2017
"222","SORFORM","fy17_1",111,2017
"223","SOURCES","fy17_1",112,2017
"224","SUPRDUM","fy17_1",113,2017
"225","TOTCHPTS","fy17_1",114,2017
"226","TOTDAYS","fy17_1",115,2017
"227","TYPEMONY","fy17_1",116,2017
"228","TYPEOTHS","fy17_1",117,2017
"229","UNIT1","fy17_1",118,2017
"230","UNIT2","fy17_1",118,2017
"231","UNIT3","fy17_1",118,2017
"232","UNIT4","fy17_1",118,2017
"233","UNIT5","fy17_1",118,2017
"234","UNIT6","fy17_1",118,2017
"235","UNIT7","fy17_1",118,2017
"236","UNIT8","fy17_1",118,2017
"237","UNIT9","fy17_1",118,2017
"238","UNIT10","fy17_1",118,2017
"239","UNIT11","fy17_1",118,2017
"240","UNIT12","fy17_1",118,2017
"241","UNIT13","fy17_1",118,2017
"242","UNIT14","fy17_1",118,2017
"243","UNIT15","fy17_1",118,2017
"244","VIOL1PTS","fy17_1",119,2017
"245","WEAPON","fy17_1",120,2017
"246","WEAPSOC","fy17_1",121,2017
"247","XCRHISSR","fy17_1",122,2017
"248","XFOLSOR","fy17_1",123,2017
"249","YEARS","fy17_1",124,2017
"250","AMENDYR","fy17_1",125,2017
"251","CHP2CHG1","fy17_1",126,2017
"252","CHP2CHG2","fy17_1",126,2017
"253","CHP2CHG3","fy17_1",126,2017
"254","CHP2CHG4","fy17_1",126,2017
"255","CHP2CHG5","fy17_1",126,2017
"256","CHP2CHG6","fy17_1",126,2017
"257","CHP3CHG1","fy17_1",126,2017
"258","CHP3CHG2","fy17_1",126,2017
"259","CHP3CHG3","fy17_1",126,2017
"260","CHP3CHG4","fy17_1",126,2017
"261","CHP3CHG5","fy17_1",126,2017
"262","CHP3CHG6","fy17_1",126,2017
"263","CHP4CHG1","fy17_1",126,2017
"264","CHP4CHG2","fy17_1",126,2017
"265","CHP4CHG3","fy17_1",126,2017
"266","CHP4CHG4","fy17_1",126,2017
"267","CHP4CHG5","fy17_1",126,2017
"268","CHP4CHG6","fy17_1",126,2017
"269","DOBYR","fy17_1",127,2017
"270","DRUGMIN","fy17_1",128,2017
"271","DRUGTYP1","fy17_1",129,2017
"272","DRUGTYP2","fy17_1",129,2017
"273","DRUGTYP3","fy17_1",129,2017
"274","DRUGTYP4","fy17_1",129,2017
"275","DRUGTYP5","fy17_1",129,2017
"276","DRUGTYP6","fy17_1",129,2017
"277","DRUGTYP7","fy17_1",129,2017
"278","DRUGTYP8","fy17_1",129,2017
"279","DRUGTYP9","fy17_1",129,2017
"280","DRUGTYP10","fy17_1",129,2017
"281","DRUGTYP11","fy17_1",129,2017
"282","DRUGTYP12","fy17_1",129,2017
"283","DRUGTYP13","fy17_1",129,2017
"284","DRUGTYP14","fy17_1",129,2017
"285","DRUGTYP15","fy17_1",129,2017
"286","GLMIN","fy17_1",130,2017
"287","GLMAX","fy17_1",131,2017
"288","GUNMIN1","fy17_1",132,2017
"289","GUNMIN2","fy17_1",132,2017
"290","GUNMIN3","fy17_1",132,2017
"291","FIREMIN1","fy17_1",133,2017
"292","FIREMIN2","fy17_1",133,2017
"293","FAILMIN","fy17_1",134,2017
"294","HRCOMSRV","fy17_1",135,2017
"295","PORNMIN","fy17_1",136,2017
"296","IDMIN","fy17_1",137,2017
"297","IMMIMIN","fy17_1",138,2017
"298","METHMIN","fy17_1",139,2017
"299","OTHRMIN","fy17_1",140,2017
"300","PROBATN","fy17_1",96,2017
"301","REAS1","fy17_1",141,2017
"302","REAS2","fy17_1",141,2017
"303","REAS3","fy17_1",141,2017
"304","REAS4","fy17_1",141,2017
"305","REAS5","fy17_1",141,2017
"306","REAS6","fy17_1",141,2017
"307","REAS7","fy17_1",141,2017
"308","REAS8","fy17_1",141,2017
"309","REAS9","fy17_1",141,2017
"310","REAS10","fy17_1",141,2017
"311","REAS11","fy17_1",141,2017
"312","REAS12","fy17_1",141,2017
"313","REAS13","fy17_1",141,2017
"314","REAS14","fy17_1",141,2017
"315","REAS15","fy17_1",141,2017
"316","REAS16","fy17_1",141,2017
"317","REAS17","fy17_1",141,2017
"318","REAS18","fy17_1",141,2017
"319","REAS19","fy17_1",141,2017
"320","REAS20","fy17_1",141,2017
"321","REAS21","fy17_1",141,2017
"322","REAS22","fy17_1",141,2017
"323","REAS23","fy17_1",141,2017
"324","REAS24","fy17_1",141,2017
"325","REAS25","fy17_1",141,2017
"326","REGSXMIN","fy17_1",142,2017
"327","REPSXMIN","fy17_1",143,2017
"328","RELMIN","fy17_1",144,2017
"329","SENTYR","fy17_1",145,2017
"330","SEXMIN","fy17_1",146,2017
"331","SMIN1","fy17_1",147,2017
"332","SMIN2","fy17_1",147,2017
"333","SMIN3","fy17_1",147,2017
"334","SMIN4","fy17_1",147,2017
"335","SMIN5","fy17_1",147,2017
"336","SMIN6","fy17_1",147,2017
"337","SMIN7","fy17_1",147,2017
"338","SMIN8","fy17_1",147,2017
"339","SMIN9","fy17_1",147,2017
"340","SMIN10","fy17_1",147,2017
"341","SMIN11","fy17_1",147,2017
"342","SMIN12","fy17_1",147,2017
"343","SMIN13","fy17_1",147,2017
"344","SMIN14","fy17_1",147,2017
"345","SMIN15","fy17_1",147,2017
"346","SMIN16","fy17_1",147,2017
"347","SMIN17","fy17_1",147,2017
"348","SMIN18","fy17_1",147,2017
"349","SMIN19","fy17_1",147,2017
"350","SMIN20","fy17_1",147,2017
"351","SMIN21","fy17_1",147,2017
"352","SMIN22","fy17_1",147,2017
"353","SMIN23","fy17_1",147,2017
"354","SMIN24","fy17_1",147,2017
"355","SMIN25","fy17_1",147,2017
"356","SMIN26","fy17_1",147,2017
"357","SMIN27","fy17_1",147,2017
"358","SMIN28","fy17_1",147,2017
"359","SMIN29","fy17_1",147,2017
"360","SMIN30","fy17_1",147,2017
"361","SMIN31","fy17_1",147,2017
"362","SMIN32","fy17_1",147,2017
"363","SMIN33","fy17_1",147,2017
"364","SMIN34","fy17_1",147,2017
"365","SMIN35","fy17_1",147,2017
"366","SMIN36","fy17_1",147,2017
"367","SMIN37","fy17_1",147,2017
"368","SMIN38","fy17_1",147,2017
"369","SMIN39","fy17_1",147,2017
"370","SMIN40","fy17_1",147,2017
"371","SMIN41","fy17_1",147,2017
"372","SMIN42","fy17_1",147,2017
"373","SMIN43","fy17_1",147,2017
"374","SMIN44","fy17_1",147,2017
"375","SMIN45","fy17_1",147,2017
"376","SMIN46","fy17_1",147,2017
"377","SMIN47","fy17_1",147,2017
"378","SMIN48","fy17_1",147,2017
"379","SMIN49","fy17_1",147,2017
"380","SMIN50","fy17_1",147,2017
"381","SMIN51","fy17_1",147,2017
"382","SMIN52","fy17_1",147,2017
"383","SMIN53","fy17_1",147,2017
"384","SMIN54","fy17_1",147,2017
"385","SMIN55","fy17_1",147,2017
"386","SMIN56","fy17_1",147,2017
"387","SMIN57","fy17_1",147,2017
"388","SMIN58","fy17_1",147,2017
"389","SMIN59","fy17_1",147,2017
"390","SMIN60","fy17_1",147,2017
"391","SMIN61","fy17_1",147,2017
"392","SMIN62","fy17_1",147,2017
"393","SMIN63","fy17_1",147,2017
"394","SMIN64","fy17_1",147,2017
"395","SMIN65","fy17_1",147,2017
"396","SMIN66","fy17_1",147,2017
"397","SMIN67","fy17_1",147,2017
"398","SMIN68","fy17_1",147,2017
"399","SMIN69","fy17_1",147,2017
"400","SMIN70","fy17_1",147,2017
"401","SMIN71","fy17_1",147,2017
"402","SMIN72","fy17_1",147,2017
"403","SMIN73","fy17_1",147,2017
"404","SMIN74","fy17_1",147,2017
"405","SMIN75","fy17_1",147,2017
"406","SMIN76","fy17_1",147,2017
"407","SMIN77","fy17_1",147,2017
"408","SMIN78","fy17_1",147,2017
