"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","BOOKERCD","reason","GDLINEHI","opafy","SENTRNGE"
"1","10","2016","37","37","9","0","0","0","0","0","NA","0","1","0","0","2","0","35","21","0","0","","2K2.1",2017,NA
"2","10","2016","100","110","14","0","0","0","0","0","NA","0","1","0","0","2","0","26","21","0","10","696","2K2.1",2017,NA
"3","10","2016","120","151","28","0","0","0","1","0","0","0","1","0","0","3","0","33","11","0","7","1206","2D1.1",2017,NA
"4","10","2016","12.03","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","32","37","1","0","","2L1.2",2017,NA
"5","12","2016","24","21","0","0","0","0","0","0","0","0","1","0","0","1","1","42","9","0","0","","2X4.1",2017,NA
"6","12","2016","470","9996","1","0","0","9996","0","0","NA","1","1","0","0","3","0","21","9","1","0","","2A1.1",2017,NA
"7","12","2016","42","57","1","0","0","24","0","0","NA","0","1","0","0","6","0","57","24","1","10","1 2 3 4 7","2K2.1",2017,NA
"8","12","2016","20","24","5","0","0","0","0","0","0","0","3","-2","0","2","0","26","34","0","7","500 676 686","2D1.1",2017,NA
"9","12","2016","77","70","6","0","0","0","0","0","NA","0","2","0","2","1","0","46","21","0","0","19","2S1.1",2017,NA
"10","12","2016","41","46","10","0","0","0","0","0","NA","0","1","0","0","3","0","40","21","1","6","48","2L1.2",2017,NA
"11","12","2016","18","46","1","0","1","0","0","0","0","0","1","0","0","1","0","45","34","0","7","2 3 1206 18 1213 60 61 697","2D1.1",2017,NA
"12","12","2016","46","60","6","0","0","60","0","0","0","0","1","0","0","2","0","37","21","0","5","19","2D1.1",2017,NA
"13","12","2016","36","75","0","0","0","24","0","0","NA","0","1","0","0","2","0","26","34","1","7","500 2 3 4 60","2B1.1",2017,NA
"14","12","2016","24","36","0","0","0","24","0","0","NA","0","2","0","0","2","0","40","12","1","10","2 3","2B1.1",2017,NA
"15","10","2016","48","87","1","0","0","60","0","0","1","0","2","0","0","2","1","34","34","0","5","19 17 60 61","2D1.1",2017,NA
"16","12","2016","151","151","14","0","0","0","0","0","NA","0","1","0","0","2","0","27","32","0","0","","2K2.1",2017,NA
"17","12","2016","24","37","0","0","0","0","0","0","0","0","1","0","0","3","0","35","6","1","10","2 3 4 60 61","2D1.1",2017,NA
"18","12","2016","120","210","19","0","0","0","0","0","0","1","1","0","0","2","0","42","21","0","10","1206 15 1200 60 61 67 1200 703","2D1.1",2017,NA
"19","12","2016","11","2","6","0","0","0","0","0","NA","0","1","0","0","3","0","33","6","1","3","2 3 4 61","2L1.2",2017,NA
"20","12","2016","1.07","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","26","NA","1","0","","2L1.2",2017,NA
"21","12","2016","7","1","3","0","0","0","0","0","NA","0","1","0","0","3","0","41","9","1","0","","2L1.2",2017,NA
"22","12","2016","0","1","4","0","0","0","0","0","NA","0","2","-4","0","1","1","33","12","0","10","14 15 650 686","2B5.1",2017,NA
