"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","SENTRNGE","reason","GDLINEHI","opafy"
"1","10","2020","28","28","7","0","0","24","0","0","NA","0","NA","0","0","3","0","26","11","0","0","","2B1.1",2021
"2","10","2020","108","140","12","0","1","60","0","0","0","0","1","0","0","1","0","29","8","0","8","2 3 4 61 777 826","2D1.1",2021
"3","10","2020","57","63","15","0","0","0","0","0","NA","0","1","0","0","3","0","32","11","0","8","876","2B3.1",2021
"4","10","2020","14","NA","0","0","NA","0","NA","NA","NA","0","1","NA","NA","6","0","39","24","1","0","19","NA",2021
"5","12","2020","0","87","0","0","0","0","0","0","1","0","2","0","0","1","1","50","21","0","8","2 3 4 1206 1211 17 60 61 676 831","2D1.1",2021
"6","12","2020","0","18","0","0","0","0","0","0","NA","0","3","0","0","3","0","46","21","0","3","48 15 676","2L1.1",2021
"7","12","2020","210","180","10","0","0","180","0","0","0","0","1","0","0","3","0","30","21","0","0","","2D1.1",2021
"8","12","2020","12.03","12","0","0","0","0","0","0","0","0","1","-2","0","3","0","29","31","1","0","","2D1.1",2021
"9","12","2020","15","70","0","0","0","120","0","0","1","0","1","-2","0","3","1","50","34","0","3","48 2 3 16 17 60 61 676 826","2D1.1",2021
"10","12","2020","151","121","5","0","0","120","0","0","0","0","1","0","0","3","0","30","21","0","0","","2D1.1",2021
"11","12","2020","12.03","18","6","0","0","0","0","0","NA","0","1","0","0","3","0","31","6","1","3","48","2L1.2",2021
"12","12","2020","0.26","6","0","0","0","0","0","0","NA","0","2","0","0","1","1","27","12","0","3","48","2A2.4",2021
"13","12","2020","12.03","12","0","0","0","0","0","0","1","0","1","-2","0","3","0","27","9","1","0","","2D1.1",2021
"14","12","2020","3.23","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","34","NA","1","0","","2L2.2",2021
"15","10","2020","7.59","12","0","0","0","0","0","0","NA","0","1","0","0","2","0","24","34","1","8","2 3 4 7 60 61 1200 673 831","2A2.4",2021
"16","12","2020","15","30","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","0","30","NA","0","3","48 876","NA",2021
"17","12","2020","37","30","17","0","0","0","0","0","NA","0","1","0","0","3","0","32","8","0","0","","2K2.1",2021
"18","12","2020","0.72","0","0","0","0","0","0","0","NA","0","2","-2","0","3","0","24","6","0","0","","2L1.1",2021
"19","12","2020","14.3","46","3","0","0","0","0","0","NA","0","1","0","0","3","0","41","11","1","8","828","2L1.2",2021
"20","12","2020","0.03","15","7","0","0","0","0","0","NA","0","1","0","0","3","0","37","9","1","3","48","2L1.2",2021
"21","12","2020","0.03","37","5","0","0","0","0","0","0","0","1","0","0","1","0","51","21","0","2","19 1205","2D1.1",2021
"22","12","2020","94","147","0","1","0","72","0","0","0","0","1","0","0","3","0","22","12","0","7","500","2D1.2",2021
"23","12","2020","0","12","1","0","0","0","0","0","NA","0","3","0","0","1","0","37","34","0","2","19","2B1.1",2021
"24","12","2020","0","24","0","0","0","0","0","0","NA","0","3","0","0","1","0","62","12","0","7","15 17 61 668","2K2.1",2021
"25","12","2020","3.98","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","47","NA","1","0","","2L1.2",2021
"26","10","2020","21","87","5","0","0","120","0","0","2","0","2","0","0","1","0","41","21","0","2","19 2 3 4 1206 11 15 16 17 60 61 64 650 673 686 875","2D1.1",2021
"27","12","2020","70","70","0","0","1","60","0","0","0","0","1","0","0","2","0","29","9","0","0","","2D1.1",2021
"28","12","2020","15","15","0","0","0","0","0","0","NA","0","1","0","0","3","0","30","6","1","0","","2L2.1",2021
